City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Balod,IN,2022-01-25 01:15:44,20.73,81.2047,52.97,71,0,2.66
170,Dakar,SN,2022-01-25 01:11:44,14.6937,-17.4441,83.28,46,100,10.96
171,Bacungan,PH,2022-01-25 01:15:44,9.9106,118.7022,81.68,77,51,5.57
172,Bodden Town,KY,2022-01-25 01:15:45,19.2833,-81.25,75.92,79,20,9.22
173,Nizhyn,UA,2022-01-25 01:15:45,51.048,31.8869,8.49,96,36,6.26
174,Srednekolymsk,RU,2022-01-25 01:15:45,67.45,153.6833,-26.63,98,99,6.91
175,Anadyr,RU,2022-01-25 01:15:46,64.75,177.4833,-19.7,69,0,6.71
176,Requena,ES,2022-01-25 01:15:46,39.4883,-1.1004,42.71,87,100,4.29
177,Verkhniy Uslon,RU,2022-01-25 01:15:46,55.7701,48.9823,-3.78,100,87,4.27
178,Mugur-Aksy,RU,2022-01-25 01:15:47,50.35,90.5,-13.45,78,2,5.97
179,Artigas,UY,2022-01-25 01:15:47,-30.4,-56.4667,77.27,80,21,10.0
180,Navahrudak,BY,2022-01-25 01:15:47,53.6,25.8333,24.44,96,100,9.01
181,Okato,NZ,2022-01-25 01:15:48,-39.2,173.8833,70.68,65,89,12.44
182,Esil,KZ,2022-01-25 01:15:48,51.9556,66.4042,-7.98,95,100,1.48
183,Liuhe,CN,2022-01-25 01:16:48,42.2401,125.7172,16.34,71,94,1.72
184,East London,ZA,2022-01-25 01:10:23,-33.0153,27.9116,70.57,78,6,10.2
185,Morondava,MG,2022-01-25 01:16:49,-20.2833,44.2833,77.65,82,100,5.35
186,Malibu,US,2022-01-25 01:16:49,34.005,-118.8101,69.85,71,6,1.45
187,Port Hedland,AU,2022-01-25 01:16:50,-20.3167,118.5667,91.45,66,72,11.5
188,Ornskoldsvik,SE,2022-01-25 01:16:50,63.2909,18.7153,33.62,80,75,11.5
189,Shamary,RU,2022-01-25 01:16:50,57.3434,58.2199,10.31,96,100,7.47
190,Gawler,AU,2022-01-25 01:16:51,-34.6,138.7333,90.63,52,1,6.33
191,Nelson Bay,AU,2022-01-25 01:11:42,-32.7167,152.15,81.28,64,49,6.8
192,Bogoslovka,RU,2022-01-25 01:16:51,53.2084,44.8013,1.53,97,95,4.09
193,Huarmey,PE,2022-01-25 01:09:44,-10.0681,-78.1522,72.48,83,100,9.33
194,Khani,GE,2022-01-25 01:16:52,41.9563,42.9566,27.97,93,89,4.52
