City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
495,Sorland,NO,69.3143,16.1194,28.38,93,100,11.5,overcast clouds
496,Yar-Sale,RU,53.6907,33.5071,15.78,96,100,4.74,snow
497,Wanning,CN,43.3218,129.7634,8.94,90,39,1.88,scattered clouds
498,Cervo,ES,43.4198,-4.7549,46.89,67,0,3.22,clear sky
499,Betul,IN,17.6212,77.9503,65.21,57,0,6.73,clear sky
500,Cagliliog,PH,12.1791,125.5072,79.48,87,100,14.34,moderate rain
501,Cananeia,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
502,Misawa,JP,35.1333,140.3,44.19,92,99,15.68,overcast clouds
503,Paamiut,GL,77.484,-69.3632,-10.75,57,9,7.09,clear sky
504,La Paz,MX,22.8909,-109.9124,72.7,53,20,4.0,few clouds
505,Elbrus,RU,53.6907,33.5071,15.78,96,100,4.74,snow
506,Seoul,KR,37.5683,126.9778,27.91,73,16,1.39,few clouds
507,Nyrob,RU,53.6907,33.5071,15.78,96,100,4.74,snow
508,Piacabucu,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
509,Izumo,JP,35.1333,140.3,44.19,92,99,15.68,overcast clouds
510,Hirado,JP,35.1333,140.3,44.19,92,99,15.68,overcast clouds
511,Deputatskiy,RU,53.6907,33.5071,15.78,96,100,4.74,snow
512,Chagda,RU,53.6907,33.5071,15.78,96,100,4.74,snow
513,Labytnangi,RU,53.6907,33.5071,15.78,96,100,4.74,snow
514,Lanigan,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
515,Alappuzha,IN,17.6212,77.9503,65.21,57,0,6.73,clear sky
516,Maarianhamina,FI,63.9167,24.9667,17.69,93,31,6.6,scattered clouds
517,Tucupita,VE,8.5514,-71.2375,69.37,91,79,1.3,broken clouds
518,Missoula,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
519,Omboue,GA,-3.432,10.6554,74.82,90,67,2.3,broken clouds
520,Fort Nelson,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
521,Taksimo,RU,53.6907,33.5071,15.78,96,100,4.74,snow
522,Bay Roberts,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
523,Abonnema,NG,5.5167,5.75,76.3,91,12,0.45,few clouds
524,Canmore,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
525,San Cristobal,EC,-0.7393,-90.3518,74.59,85,67,7.47,broken clouds
526,Santa Maria,PT,32.6667,-17.1,61.43,71,27,7.27,scattered clouds
527,Margate,ZA,-33.9258,18.4232,68.41,76,0,7.0,clear sky
528,Kruisfontein,ZA,-33.9258,18.4232,68.41,76,0,7.0,clear sky
529,Olinda,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
530,Sibi,PK,24.1447,67.4497,64.51,47,0,7.18,clear sky
531,Kerouane,GN,10.9409,-14.2967,70.56,74,62,1.45,broken clouds
532,Eureka,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
533,Olafsvik,IS,63.8424,-22.4338,30.67,86,75,3.44,broken clouds
534,Horasan,TR,40.9086,37.6845,25.3,98,100,2.53,light snow
535,Santo Estevao,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
536,Labutta,MM,20.4667,94.8833,63.93,73,45,5.79,scattered clouds
537,Kem,RU,53.6907,33.5071,15.78,96,100,4.74,snow
538,Ramnagar,IN,17.6212,77.9503,65.21,57,0,6.73,clear sky
539,Arco,IT,37.2934,13.5264,39.9,65,1,7.23,clear sky
540,Novoagansk,RU,53.6907,33.5071,15.78,96,100,4.74,snow
541,Rosario,AR,-29.15,-59.65,74.17,93,96,13.47,overcast clouds
542,Arman,RU,53.6907,33.5071,15.78,96,100,4.74,snow
543,Kenai,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
544,Gbarnga,LR,4.375,-7.7169,78.67,84,3,5.68,clear sky
545,Osa,RU,53.6907,33.5071,15.78,96,100,4.74,snow
546,Palabuhanratu,ID,-3.6954,128.1814,86.14,74,20,5.75,few clouds
547,Skagastrond,IS,63.8424,-22.4338,30.67,86,75,3.44,broken clouds
548,Nieuw Amsterdam,SR,5.8833,-55.0833,78.82,89,40,5.75,scattered clouds
